,filter_interaction,example_no,motif1,motif1_qval,motif2,motif2_qval,mean_distance,mean_distance_bg,num_obs,num_obs_bg,pval,adjusted_pval,TF1,TF2,TF_Interaction,TF1_Family,TF2_Family,Family_Interaction
90,filter129$\longleftrightarrow$filter138,17423,M0609_1.02,0.00722919,M4604_1.02,0.0165503,12.0,132.0,173.0,113.0,0.0003402408553031,0.0186993190534442,DNMT1,ZNF263,DNMT1$\longleftrightarrow$ZNF263,CxxC,C2H2 ZF,CxxC$\longleftrightarrow$C2H2 ZF
91,filter135$\longleftrightarrow$filter138,17822,M4640_1.02,0.0301633,M4604_1.02,0.0165503,312.0,36.0,197.0,97.0,7.492428453776977e-06,0.0010279393081546,ZBTB7A,ZNF263,ZBTB7A$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
92,filter135$\longleftrightarrow$filter140,17824,M4640_1.02,0.0301633,M6482_1.02,0.0115435,30.0,456.0,178.0,115.0,0.0004631134376525,0.0239139565223014,ZBTB7A,SP7,ZBTB7A$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
93,filter135$\longleftrightarrow$filter171,17855,M4640_1.02,0.0301633,M1668_1.02,0.00131286,30.0,96.0,211.0,117.0,1.433463729061563e-05,0.0017217248908941,ZBTB7A,PRKRIR,ZBTB7A$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
94,filter135$\longleftrightarrow$filter173,17857,M4640_1.02,0.0301633,M6482_1.02,1.54228e-05,174.0,66.0,200.0,94.0,1.1321159678406574e-05,0.0014377872791576,ZBTB7A,SP7,ZBTB7A$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
95,filter135$\longleftrightarrow$filter184,17868,M4640_1.02,0.0301633,M4459_1.02,0.00536543,102.0,114.0,210.0,119.0,1.3221141909164685e-06,0.0002661032998865,ZBTB7A,EGR1,EGR1$\longleftrightarrow$ZBTB7A,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
96,filter138$\longleftrightarrow$filter140,18010,M4604_1.02,0.0165503,M6482_1.02,0.0115435,6.0,24.0,182.0,96.0,0.000536710804717,0.0269929378640108,ZNF263,SP7,ZNF263$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
97,filter138$\longleftrightarrow$filter152,18022,M4604_1.02,0.0165503,M0609_1.02,0.0428993,186.0,12.0,175.0,115.0,0.0012445768945325,0.0499929669405393,ZNF263,DNMT1,DNMT1$\longleftrightarrow$ZNF263,C2H2 ZF,CxxC,CxxC$\longleftrightarrow$C2H2 ZF
98,filter138$\longleftrightarrow$filter157,18027,M4604_1.02,0.0165503,M6482_1.02,0.00647809,54.0,270.0,159.0,92.0,0.0002580151006313,0.0151551619733354,ZNF263,SP7,ZNF263$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
99,filter138$\longleftrightarrow$filter171,18041,M4604_1.02,0.0165503,M1668_1.02,0.00131286,84.0,60.0,210.0,92.0,0.0004305198321473,0.0226034937571004,ZNF263,PRKRIR,ZNF263$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
100,filter138$\longleftrightarrow$filter173,18043,M4604_1.02,0.0165503,M6482_1.02,1.54228e-05,144.0,24.0,202.0,80.0,0.0001512817053829,0.0100833011857345,ZNF263,SP7,ZNF263$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
101,filter138$\longleftrightarrow$filter184,18054,M4604_1.02,0.0165503,M4459_1.02,0.00536543,162.0,6.0,212.0,89.0,5.846632499542473e-07,0.0001505387732347,ZNF263,EGR1,EGR1$\longleftrightarrow$ZNF263,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
102,filter140$\longleftrightarrow$filter171,18160,M6482_1.02,0.0115435,M1668_1.02,0.00131286,12.0,210.0,188.0,128.0,6.228468773410022e-07,0.0001560937320866,SP7,PRKRIR,SP7$\longleftrightarrow$PRKRIR,C2H2 ZF,THAP finger,C2H2 ZF$\longleftrightarrow$THAP finger
103,filter140$\longleftrightarrow$filter184,18173,M6482_1.02,0.0115435,M4459_1.02,0.00536543,60.0,60.0,187.0,119.0,2.418209510093477e-09,2.840791621982312e-06,SP7,EGR1,EGR1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
104,filter171$\longleftrightarrow$filter173,19495,M1668_1.02,0.00131286,M6482_1.02,1.54228e-05,30.0,12.0,212.0,85.0,5.321016510037689e-05,0.0045579091273587,PRKRIR,SP7,SP7$\longleftrightarrow$PRKRIR,THAP finger,C2H2 ZF,C2H2 ZF$\longleftrightarrow$THAP finger
105,filter171$\longleftrightarrow$filter184,19506,M1668_1.02,0.00131286,M4459_1.02,0.00536543,450.0,84.0,221.0,113.0,3.929154165864697e-05,0.0036380483596843,PRKRIR,EGR1,EGR1$\longleftrightarrow$PRKRIR,THAP finger,C2H2 ZF,C2H2 ZF$\longleftrightarrow$THAP finger
106,filter173$\longleftrightarrow$filter184,19559,M6482_1.02,1.54228e-05,M4459_1.02,0.00536543,6.0,6.0,210.0,97.0,1.9245018041040533e-07,6.319100185284325e-05,SP7,EGR1,EGR1$\longleftrightarrow$SP7,C2H2 ZF,C2H2 ZF,C2H2 ZF$\longleftrightarrow$C2H2 ZF
